day,Open,High,Low,Close,Volume,open_ret,close_ret,article_count,bullish_count,bearish_count,neutral_count,avg_bias,weighted_bias,sum_bias,max_abs_bias,weighted_bias_lag1,weighted_bias_lag2,article_count_lag1,bullish_ratio,bearish_ratio,sentiment_imbalance,sentiment_strength
2024-01-02 00:00:00+00:00,49.1566219566508,49.20753015338818,47.51054964423797,48.0825309753418,411254000,-0.03637360718275184,-0.012513560734434232,21.0,5.0,6.0,10.0,0.0014160271528221,0.0014160271527546,0.0297365702092645,0.011840655952692,0.0022230644633077,0.0,8.0,0.238095238095238,0.2857142857142857,-1.0,0.0014160271527546
2024-01-03 00:00:00+00:00,47.40074566328975,48.09850289557728,47.23603751691528,47.484596252441406,320896000,0.005921227052338574,0.008978195428606124,25.0,7.0,9.0,9.0,0.0011470465373992,0.0011470465373534,0.0286761634349823,0.0116152641177177,0.0014160271527546,0.0022230644633077,21.0,0.28,0.36,-2.0,0.0011470465373534
2024-01-04 00:00:00+00:00,47.68224884044641,48.41395003873669,47.42370949212884,47.912841796875,306535000,0.014444812078902036,0.022638347329819786,30.0,10.0,4.0,16.0,0.0025574632624784,0.0025574632623932,0.0767238978743547,0.0113875882327556,0.0011470465373534,0.0014160271527546,25.0,0.3333333333333333,0.1333333333333333,6.0,0.0025574632623932
2024-01-05 00:00:00+00:00,48.37600851565981,49.459082326064205,48.22028328844258,49.00988006591797,415039000,0.021435139099119305,0.06229941485031386,18.0,7.0,5.0,6.0,0.0021794066098001,0.002179406609679,0.0392293189764021,0.0114662021398544,0.0025574632623932,0.0011470465373534,30.0,0.3888888888888889,0.2777777777777778,2.0,0.002179406609679
2024-01-08 00:00:00+00:00,49.42414836733732,52.18224626703925,49.391205977221674,52.160282135009766,642510000,0.05671072200530515,0.01683276856737063,28.0,13.0,2.0,13.0,0.0047992576839668,0.0047992576837954,0.1343792151510708,0.0118322455883026,0.0036922305965229,0.0042605887687931,6.0,0.4642857142857143,0.0714285714285714,11.0,0.0047992576837954
2024-01-09 00:00:00+00:00,52.30802809263291,54.22861420741035,51.598287244233845,53.04571533203125,773100000,0.02292184311138253,0.022514641453404198,34.0,16.0,4.0,14.0,0.0046580464059815,0.0046580464058445,0.1583735778033726,0.0117658507823944,0.0047992576837954,0.0036922305965229,28.0,0.4705882352941176,0.1176470588235294,12.0,0.0046580464058445
2024-01-10 00:00:00+00:00,53.52087170860792,54.50312317370562,53.39409433002728,54.25356674194336,533796000,0.02546735901511601,0.008646859978975924,34.0,18.0,3.0,13.0,0.0051370695706675,0.0051370695705164,0.1746603654026972,0.0118508671224117,0.0046580464058445,0.0047992576837954,34.0,0.5294117647058824,0.088235294117647,15.0,0.0051370695705164
2024-01-11 00:00:00+00:00,54.90141170121365,55.24779611496442,53.46496584925973,54.72472381591797,596759000,-0.0069148535778578565,-0.00204499312760446,10.0,6.0,0.0,4.0,0.0062121834993361,0.0062121834987149,0.0621218349933619,0.0119328764081001,0.0051370695705164,0.0046580464058445,34.0,0.6,0.0,6.0,0.0062121834987149
2024-01-12 00:00:00+00:00,54.523086018906326,54.87246729450568,54.23360346337735,54.6129264831543,352994000,0.007260382967746763,0.030103513497523583,16.0,8.0,0.0,8.0,0.0052774159256368,0.005277415925307,0.0844386548101898,0.011864942908287,0.0062121834987149,0.0051370695705164,10.0,0.5,0.0,8.0,0.005277415925307
2024-01-16 00:00:00+00:00,54.920385030235444,56.734158722808395,54.80259436306696,56.28196334838867,449580000,0.02386856837561232,-0.005852262783975482,20.0,8.0,5.0,7.0,0.0024046591512858,0.0024046591511656,0.0480931830257172,0.0117858144640922,0.0041667947553314,0.0019552118809169,14.0,0.4,0.25,3.0,0.0024046591511656
